P64 Salmon FriRice,$15.95,3,47.85,0,47.85,2021-01-01 00:00:00,2021-01-31 00:00:00
P65 Tilapia FriRice,$15.95,1,15.95,0,15.95,2021-01-01 00:00:00,2021-01-31 00:00:00
P66 Pickle Green Mustard Soup,$10.75,2,25.5,0,25.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P7 Pineapple Fried Rice,$10.95,21,251.35,0,251.35,2021-01-01 00:00:00,2021-01-31 00:00:00
P7 Pineapple Fried Rice (Veg),$10.95,5,63.55,0,63.55,2021-01-01 00:00:00,2021-01-31 00:00:00
P7 Pineapple FriRice,$11.75,51,601.25,0,601.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P8 Pad Ga-Prao,$9.50,11,104.5,0,104.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P8 Pad Ped Ga-Prao ** ,$9.25,10,109.75,0,109.75,2021-01-01 00:00:00,2021-01-31 00:00:00
P9 Pad Ped Ga-Prao ( Shrimp or Squid )**,$10.50,1,12.5,0,12.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Pad Ga-Tiam,$9.50,3,30.5,0,30.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Pad KeeMao,$9.50,8,76,0,76,2021-01-01 00:00:00,2021-01-31 00:00:00
Pad Sea-Ew,$9.50,7,68.5,0,68.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Pad Thai,$9.50,7,69.5,0,69.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Pad Woon Sen,$11.95,1,11.95,0,11.95,2021-01-01 00:00:00,2021-01-31 00:00:00
Panang Curry,$9.50,2,19,0,19,2021-01-01 00:00:00,2021-01-31 00:00:00
Pepsi,$2.50,17,41.75,0,41.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Plain Sticky Rice,$2.50,9,22.5,0,22.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Rice,$2.00,28,56,0,56,2021-01-01 00:00:00,2021-01-31 00:00:00
Rice Stick Noodle ,$3.00,1,3,0,3,2021-01-01 00:00:00,2021-01-31 00:00:00
Roast Chili L,$15.00,5,75,0,75,2021-01-01 00:00:00,2021-01-31 00:00:00
Roast Chili S,$8.00,2,16,0,16,2021-01-01 00:00:00,2021-01-31 00:00:00
